266,Soracá,8
267,Coper,8
268,Cómbita,8
269,Firavitoba,8
270,Ciénega,8
271,Chita,8
272,Covarachía,8
273,Chitaraque,8
274,Chivatá,8
275,Cubará,8
276,El Cocuy,8
277,Duitama,8
278,El Espino,8
279,Tunja,8
280,Cucaita,8
281,Chiscas,8
282,Cuítiva,8
283,Chíquiza,8
284,Corrales,8
285,Betéitiva,8
286,Berbeo,8
287,Boavita,8
288,Belén,8
289,Almeida,8
290,Boyacá,8
291,Aquitania,8
292,Arcabuco,8
293,Briceño,8
294,Cerinza,8
295,Campohermoso,8
296,Chinavita,8
297,Pesca,8
298,Buenavista,8
299,Chiquinquirá,8
300,Busbanzá,8
301,Caldas,8
302,Chivor,8
303,Oicatá,8
304,Otanche,8
305,Floresta,8
306,Pachavita,8
307,Pajarito,8
308,Nuevo Colón,8
309,Paipa,8
310,Páez,8
311,Muzo,8
312,Maripí,8
313,Miraflores,8
314,Macanal,8
315,Mongua,8
316,Motavita,8
317,Panqueba,8
318,Moniquirá,8
319,Monguí,8
320,Nobsa,8
321,Guayatá,8
322,Guateque,8
323,Güicán De La Sierra,8
324,Iza,8
325,Guacamayas,8
326,Gachantivá,8
327,Pauna,8
328,Gámeza,8
329,Garagoa,8
330,Jenesano,8
331,Villa De Leyva,8
332,La Uvita,8
333,Paz De Río,8
334,Paya,8
335,La Victoria,8
336,Labranzagrande,8
337,Jericó,8
338,La Capilla,8
339,Villamaría,9
340,Victoria,9
341,Viterbo,9
342,Marmato,9
343,La Dorada,9
344,Filadelfia,9
345,Chinchiná,9
346,La Merced,9
347,Manzanares,9
348,Belalcázar,9
349,Aguadas,9
350,Manizales,9
351,Marquetalia,9
352,Anserma,9
353,Aranzazu,9
354,Marulanda,9
355,Salamina,9
356,Risaralda,9
357,Riosucio,9
358,Samaná,9
359,San José,9
360,Pensilvania,9
361,Norcasia,9
362,Neira,9
363,Supía,9
364,Pácora,9
365,Palestina,9
366,Curillo,10
367,San José Del Fragua,10
368,Puerto Rico,10
369,San Vicente Del Caguán,10
370,Morelia,10
371,Valparaíso,10
372,Solano,10
373,Milán,10
374,La Montañita,10
375,Albania,10
376,Solita,10
377,Florencia,10
378,Belén De Los Andaquíes,10
379,El Paujíl,10
380,Cartagena Del Chairá,10
381,El Doncello,10
382,Támara,11
383,Villanueva,11
384,Tauramena,11
385,San Luis De Palenque,11
386,Trinidad,11
387,Hato Corozal,11
388,La Salina,11
389,Chámeza,11
390,Yopal,11
391,Monterrey,11
392,Aguazul,11
393,Nunchía,11
394,Recetor,11
395,Sabanalarga,11
396,Pore,11
397,Orocué,11
398,Sácama,11
399,Paz De Ariporo,11
400,Maní,11
401,Padilla,12
402,Toribío,12
403,Morales,12
404,Páez,12
405,Piamonte,12
406,Guachené,12
407,Silvia,12
408,Mercaderes,12
409,Inzá,12
410,Jambaló,12
411,Guapi,12
412,La Sierra,12
413,López De Micay,12
414,Piendamó - Tunía,12
415,Buenos Aires,12
416,La Vega,12
417,Miranda,12
418,Timbiquí,12
419,Timbío,12
420,Popayán,12
421,Sucre,12
422,Sotará - Paispamba,12
423,Almaguer,12
424,Suárez,12
425,Argelia,12
426,Rosas,12
427,San Sebastián,12
428,Puracé,12
429,Santander De Quilichao,12
430,Balboa,12
431,Puerto Tejada,12
432,Bolívar,12
433,Santa Rosa,12
434,Patía,12
435,Villa Rica,12
436,Caldono,12
437,Florencia,12
438,Cajibío,12
439,Totoró,12
440,Caloto,12
441,El Tambo,12
442,Corinto,12
443,Curumaní,13
444,El Paso,13
445,El Copey,13
446,Chimichagua,13
447,Aguachica,13
448,Gamarra,13
449,Valledupar,13
450,Agustín Codazzi,13
451,Becerril,13
452,Bosconia,13
453,Astrea,13
454,Chiriguaná,13
455,San Alberto,13
456,La Paz,13
457,San Diego,13
458,Tamalameque,13
459,González,13
460,San Martín,13
461,Río De Oro,13
462,La Jagua De Ibirico,13
463,La Gloria,13
464,Manaure Balcón Del Cesar,13
465,Pelaya,13
466,Pueblo Bello,13
467,Pailitas,13
468,Unguía,14
469,El Carmen De Atrato,14
470,Carmen Del Darién,14
471,El Cantón Del San Pablo,14
472,Cértegui,14
473,Unión Panamericana,14
474,Bojayá,14
475,Condoto,14
476,Bajo Baudó,14
477,Acandí,14
478,Alto Baudó,14
479,Quibdó,14
480,Atrato,14
481,Bahía Solano,14
482,El Litoral Del San Juan,14
483,Bagadó,14
484,Nuevo Belén De Bajirá,14
485,Río Quito,14
486,Río Iró,14
487,Riosucio,14
488,Sipí,14
489,Nuquí,14
490,San José Del Palmar,14
491,Tadó,14
492,Lloró,14
493,Medio Atrato,14
494,Juradó,14
495,Medio Baudó,14
496,Nóvita,14
497,Istmina,14
498,Medio San Juan,14
499,Purísima De La Concepción,15
500,Lorica,15
501,La Apartada,15
502,Los Córdobas,15
503,Montelíbano,15
504,Ciénaga De Oro,15
505,Momil,15
506,Chinú,15
507,Ayapel,15
508,Buenavista,15
509,Montería,15
510,Canalete,15
511,Chimá,15
512,Moñitos,15
513,Cereté,15
514,Cotorra,15
515,San José De Uré,15
516,San Pelayo,15
517,Planeta Rica,15
518,Tierralta,15
519,Valencia,15
520,San Bernardo Del Viento,15
521,Tuchín,15
522,San Carlos,15
523,Pueblo Nuevo,15
524,Puerto Libertador,15
525,San Antero,15
526,Puerto Escondido,15
527,San Andrés De Sotavento,15
528,Sahagún,15
529,Topaipí,16
530,Villa De San Diego De Ubaté,16
531,Ubalá,16
532,Tocancipá,16
533,Tibacuy,16
534,Tenjo,16
535,Tena,16
536,Tocaima,16
537,Une,16
538,Tibirita,16
539,Ubaque,16
540,Zipacón,16
541,Yacopí,16
542,Viotá,16
543,Zipaquirá,16
544,Tausa,16
545,Villeta,16
546,Vianí,16
547,Vergara,16
548,Útica,16
